Project,ID,Name,Status,Power State,Networks,Flavor Name,Host,CPU,RAM
APP-DEV,914d9f4c-6316-4078-b1c5-4d0648f35629,Digital-Porto-FE,ACTIVE,,Dev-Net=172.18.226.91,ubuntu-DigitalPorto,gti-r02-oscompute-15,4, 4G
APP-DEV,8e72466e-4481-441b-bf84-da89e0b3d3e8,DesktopRobotStudioUAT_5_1721822611,ACTIVE,,"robot-dev-net=10.10.11.57, 172.18.226.11",windows2019-8-200-1s,gti-r02-oscompute-15,4, 8G
APP-DEV,1b5bf97e-d88e-4d0d-8001-264ec879b6f0,FAMP-BFF,ACTIVE,,"famp-dev-net=10.10.13.169, 172.18.230.20",c2-standard-4-1s,gti-r02-oscompute-16,4, 8G
APP-DEV,7448e2ed-265c-4128-a03b-0796e2654b7b,DesktopDBUAT_1721822797,ACTIVE,,"robot-dev-net=10.10.11.90, 172.18.227.79",windows2019-8-200-1s,gti-r02-oscompute-17,4, 8G
APP-DEV,b853eece-9657-4e5a-80dc-36ba03763312,Dev-Taipei-Screening-DB,ACTIVE,,Dev-Net=172.18.228.252,c2-standard-4-1s,gti-r02-oscompute-17,4, 8G
APP-DEV,bbc1825a-e6a7-4e73-be31-a62cdfc91c58,BRIEAZYCASH NFS_VPC,ACTIVE,,Dev-Net=172.18.228.146,BRIEAZYCASH,gti-r02-oscompute-17,8, 8G
APP-DEV,bcb7073b-abfa-4480-8e8a-cdaa49deb1ba,BRIEAZYCASH APP_VPC,ACTIVE,,Dev-Net=172.18.228.144,BRIEAZYCASH,gti-r02-oscompute-17,8, 8G
APP-DEV,ae86ab18-53b1-4685-b5ad-8d3366aeb263,POC-Aiops-Forwarder-135,ACTIVE,,"robot-dev-net=10.10.11.23, 172.18.227.66",poc-aiops-8-8,gti-r02-oscompute-17,8, 8G
APP-DEV,9816474b-265a-4dbf-b76e-193460fa0916,Dev_Clusterset_HA_MySQL_DC_4,ACTIVE,,Dev-Net=172.18.226.223,app-dev-8-8,gti-r02-oscompute-18,8, 8G
APP-DEV,d398349b-d644-4662-8bce-d1b92a585d97,Dev_Clusterset_HA_MySQL_DC_3,ACTIVE,,Dev-Net=172.18.230.150,app-dev-8-8,gti-r02-oscompute-22,8, 8G
APP-DEV,3307e1d7-4ad5-47bd-96b0-03011122c250,Dev_Clusterset_HA_MySQL_DC_2,ACTIVE,,Dev-Net=172.18.226.168,app-dev-8-8,gti-r02-oscompute-22,8, 8G
APP-DEV,a9028587-2376-46cd-a298-2c27b1187ad1,Dev_Clusterset_HA_MySQL_DC_1,ACTIVE,,Dev-Net=172.18.230.68,app-dev-8-8,gti-r02-oscompute-22,8, 8G
APP-DEV,d58b6049-9a30-4dc2-8648-4b4bca7faabe,Portal-KKD-Surrounding-System-Web-Server,ACTIVE,,Dev-Net=172.18.228.110,app-dev,gti-r02-oscompute-22,8, 8G
APP-DEV,fc9e105c-cb8b-4324-a6e4-081dcc5de014,Apigee-Dev-6,ACTIVE,,Dev-Net=172.18.225.101,app-dev-rhel,gti-r02-oscompute-22,8, 8G
APP-DEV,0436c0cf-c00f-44ae-9576-914b02df6aa0,BRIEAZYCASH-DB_VPC,ACTIVE,,Dev-Net=172.18.228.145,BRIEAZYCASH,gti-r03-oscompute-25,8, 8G
APP-DEV,75686165-2540-4086-a1d7-5a5546ddcf3d,node-cfm-dev,ACTIVE,,"robot-dev-net=10.10.11.98, 172.18.228.71",nifi-64-500-1s,gti-r03-oscompute-25,8, 64G
APP-DEV,1ecaa2fd-e553-4a9d-8e01-f51deb586f8a,HA-MongoDB-ADDONS,ACTIVE,,"ha-dev-net=10.10.14.125, 172.18.225.61",c2-standard-2-1s,gti-r03-oscompute-25,2, 4G
APP-DEV,f3925b76-1ce9-4846-aa5b-dc87256f69de,HA-Redis-ADDONS-2,ACTIVE,,"ha-dev-net=10.10.14.115, 172.18.226.74",c2-standard-4-1s,gti-r03-oscompute-25,4, 8G
APP-DEV,288dae4d-39e1-458d-ad39-a7db7ec1e41b,HA-Redis-ADDONS-1,ACTIVE,,"ha-dev-net=10.10.14.36, 172.18.226.77",c2-standard-4-1s,gti-r03-oscompute-25,4, 8G
APP-DEV,eae64b97-1625-4b0d-9d71-75b08681b90c,HA-MongoDB-Shard-ADDONS,ACTIVE,,"ha-dev-net=10.10.14.129, 172.18.226.203",c2-standard-2-1s,gti-r03-oscompute-25,2, 4G
APP-DEV,ede8708e-cae6-48b8-9f78-28b044533c09,HA-MongoDB-Router-ADDONS,ACTIVE,,"ha-dev-net=10.10.14.103, 172.18.225.78",c2-standard-2-1s,gti-r03-oscompute-25,2, 4G
APP-DEV,f1e9423d-d115-43dc-ab70-1addb37b2f6c,Development-Portal-BG-Web_17218227117,ACTIVE,,Dev-Net=172.18.227.117,c2-standard-4-1s,gti-r03-oscompute-26,4, 8G
APP-DEV,4ae90891-825e-4970-a427-1b77f51574af,RM-Workbench-BE,ACTIVE,,Dev-Net=172.18.227.115,app-dev-8-4,gti-r03-oscompute-29,4, 8G
APP-DEV,42fd1105-29f9-4557-b94c-1c837b5ee160,DesktopRobotStudioUAT_6_17218225141,ACTIVE,,"robot-dev-net=10.10.11.125, 172.18.225.141",windows2019-8-200-1s,gti-r03-oscompute-29,4, 8G
APP-DEV,3aa1e8fc-2f81-4a46-9636-044f5c497928,DesktopRobotStudioUAT_3_1721822594,ACTIVE,,"robot-dev-net=10.10.11.242, 172.18.225.94",windows2019-8-200-1s,gti-r03-oscompute-29,4, 8G
APP-DEV,cbcf8542-b604-4585-b26a-e8a20638ed16,Loan_On_Phone_LOP_Surrounding_System_LOP_DB,ACTIVE,,Dev-Net=172.18.228.111,app-dev,gti-r03-oscompute-31,8, 8G
APP-DEV,f43414ad-4357-43b3-b1ad-d2fec97197a9,Apigee-Dev-4,ACTIVE,,Dev-Net=172.18.228.45,app-dev-rhel,gti-r03-oscompute-32,8, 8G
APP-DEV,09d6f539-ff62-4d73-9518-66e313508a28,Apigee-Dev-1,ACTIVE,,Dev-Net=172.18.226.107,app-dev-rhel,gti-r03-oscompute-32,8, 8G
APP-DEV,341f7b41-acc8-4358-a6d7-27bc9099e18b,QA-Medallion-Direct-DB,ACTIVE,,Dev-Net=172.18.226.113,app-dev,gti-r03-oscompute-32,8, 8G
APP-DEV,7d244e1d-dfdf-4a68-808e-e1e49e9a68ad,APP-Server-EJOL,ACTIVE,,Dev-Net=172.18.225.159,app-dev,gti-r03-oscompute-32,8, 8G
APP-DEV,0873a3af-64a1-4d1e-8a5a-85f3e1672700,QA-CPA-UAT-4,ACTIVE,,Dev-Net=172.18.230.80,app-dev,gti-r03-oscompute-32,8, 8G
APP-DEV,4361390f-63b0-4f5b-91f2-91e34637daca,QA-CPA-UAT-3,ACTIVE,,Dev-Net=172.18.227.247,app-dev,gti-r03-oscompute-32,8, 8G
