Project|ID|Name|Status|Power State|Networks|Flavor Name|Host|CPU|RAM
edm|b039b600-5e62-4007-a286-57c58bf7437b|odc-edm-prd-k8s-worker-7|ACTIVE|Running|edm-k8s-prod-net=10.40.220.127|c2-standard-16-1s|odc-r07-oscompute-26|16|32G
edm|572ac32a-f949-4b94-b7f7-3c0736609685|odc-edm-prd-k8s-worker-10|ACTIVE|Running|edm-k8s-prod-net=10.40.220.130|c2-standard-16-1s|odc-r08-oscompute-15|16|32G
edm|4f8b4e70-54f2-436c-99ef-1c0941349f82|odc-edm-prd-k8s-worker-6|ACTIVE|Running|edm-k8s-prod-net=10.40.220.126|c2-standard-16-1s|odc-r07-oscompute-32|16|32G
edm|714e9b34-ed13-4c13-8b97-63f220a7847b|odc-edm-prd-k8s-worker-11|ACTIVE|Running|edm-k8s-prod-net=10.40.220.131|c2-standard-16-1s|odc-r09-oscompute-03|16|32G
edm|eb049640-dad8-4fcb-a310-e9fba1c9d6cd|odc-edm-prd-k8s-worker-4|ACTIVE|Running|edm-k8s-prod-net=10.40.220.124|c2-standard-16-1s|odc-r09-oscompute-03|16|32G
edm|05db3d4f-30a1-449d-a952-d28c86890dfe|odc-k8s-ops-monit|ACTIVE|Running|edm-k8s-prod-net=10.40.220.251|c2-standard-8-1s|odc-r06-oscompute-39|8|16G
edm|53102ebe-b5bf-4624-9e12-c6d807a58848|odc-edm-prd-k8s-worker-3|ACTIVE|Running|edm-k8s-prod-net=10.40.220.123|c2-standard-16-1s|odc-r07-oscompute-33|16|32G
edm|9ae372e9-d024-4c24-8760-f965ef2f9629|odc-edm-prd-k8s-worker-2|ACTIVE|Running|edm-k8s-prod-net=10.40.220.122|c2-standard-16-1s|odc-r08-oscompute-20|16|32G
edm|af20f2c0-50b5-4f16-a810-5380109d0fae|odc-edm-prd-k8s-worker-1|ACTIVE|Running|edm-k8s-prod-net=10.40.220.121|c2-standard-16-1s|odc-r08-oscompute-17|16|32G
edm|e98be809-fe4a-4bf0-b193-5535a787f24a|odc-edm-prd-k8s-master-3|ACTIVE|Running|edm-k8s-prod-net=10.40.220.113|n2-standard-4-1s|odc-r07-oscompute-30|4|16G
edm|9532a19c-f43c-44e6-a7e6-0c44464a5cf1|odc-edm-prd-k8s-master-2|ACTIVE|Running|edm-k8s-prod-net=10.40.220.112|n2-standard-4-1s|odc-r08-oscompute-21|4|16G
edm|7f488751-67c7-4ab6-b42d-76434c64455b|odc-edm-prd-k8s-master-1|ACTIVE|Running|edm-k8s-prod-net=10.40.220.111, 172.28.216.140|n2-standard-4-1s|odc-r06-oscompute-40|4|16G
ddb|7585f130-2e28-4885-b68a-77cfb7a70c5f|cbm-percona-db-prd-odc-3|ACTIVE|Running|cbm-database-1-net=10.40.17.16, 172.28.216.21|n2-standard-4-1s|odc-r06-oscompute-40|4|16G
system-monitoring|f19afae9-27c2-445e-96b1-c784476d117c|loki-bm-odc-gti|ACTIVE|Running|monitoring-net=192.168.100.185, 172.28.217.99|c2-highcpu-8-1s|odc-r06-oscompute-40|8|8G
system-monitoring|3e0761ae-f930-475b-8749-986bb3f5c334|prometheus-bm-odc-gti|ACTIVE|Running|monitoring-net=192.168.100.50, 172.28.217.240|c2-highcpu-8-1s|odc-r06-oscompute-40|8|8G
ddb|4002fc3b-c107-46e9-ac62-b0f4c795e0f8|briapi-postgres-ms-valas-nego-api-1|ACTIVE|Running|Briapi-DB-Net-01=10.40.5.232, 172.28.216.229|c2-standard-4-1s|odc-r07-oscompute-26|4|8G
ddb|d8467d83-7b6e-49bf-9553-6f430ace28c4|devops-elk-prod-odc-03|ACTIVE|Running|Prod_Network=172.28.220.58; devops-backend-01=10.40.1.173|n2-standard-16-1s|odc-r07-oscompute-26|16|64G
ddb|4ada7a86-dd34-42a8-812d-1326e569492a|devops-elk-prod-odc-02|ACTIVE|Running|Prod_Network=172.28.220.56; devops-backend-01=10.40.1.35|n2-standard-16-1s|odc-r07-oscompute-26|16|64G
ddb|4ec52ea6-7db3-4eea-9ac0-44d66137d269|website-BRI-NFS-odc-3|ACTIVE|Running|website-bri-1-net=10.40.27.26|c2-standard-2-1s|odc-r07-oscompute-27|2|4G
